smiles,group,drugbank
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,test,-1
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,test,-1
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,test,-1
CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,test,-1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,test,-1
CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,test,-1
CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21,test,-1
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,test,-1
CN(C)C1C(=O)C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,test,-1
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,test,-1
Nc1ccc(S(N)(=O)=O)cc1,test,-1
NC1CONC1=O,test,-1
Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,test,-1
O=NN(CCCl)C(=O)NCCCl,test,-1
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,test,-1
COCCc1ccc(OCC(O)CNC(C)C)cc1,test,-1
CC=CC(=O)N(CC)c1ccccc1C,test,-1
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,test,-1
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,test,-1
CCCN(CCC)CCc1cccc2[nH]c(O)cc12,test,-1
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,test,-1
COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,test,-1
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,test,-1
NCCc1cc[nH]n1,test,-1
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,test,-1
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,test,-1
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,test,-1
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,test,-1
Cn1c(=O)c2[nH]cnc2n(C)c1=O,test,-1
CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1,test,-1
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,test,-1
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,test,-1
CCN(CC)CC(=O)Nc1c(C)cccc1C,test,-1
NCCC(O)([PH](=O)(=O)O)[PH](=O)(=O)O,test,-1
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,test,-1
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]([C@H](O)C(=O)CO)[C@H](O)CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,test,-1
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,test,-1
CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,test,-1
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,test,-1
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,test,-1
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,test,-1
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,test,-1
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,test,-1
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,test,-1
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,test,-1
CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,test,-1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,test,-1
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,test,-1
Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,test,-1
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,test,-1
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,test,-1
NCC1CCC(C(=O)O)CC1,test,-1
CC1=C(S[C@@H]2CNC(C(=O)Nc3cccc(C(=O)O)c3)C2)C(C(=O)O)N2C(=O)C([C@@H](C)O)[C@@H]12,test,-1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,test,-1
CO[C@@]12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1C[C@@H]1N[C@@H]12,test,-1
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,test,-1
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,test,-1
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,test,-1
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,test,-1
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,test,-1
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,test,-1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,test,-1
CCCC(CCC)C(=O)O,test,-1
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,test,-1
CC(=O)Nc1ccc(O)cc1,test,-1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,test,-1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,test,-1
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,test,-1
CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,test,-1
CN(C)CCC=C1c2ccccc2CCc2ccccc21,test,-1
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,test,-1
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,test,-1
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,test,-1
CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@H]3[C@H]1C5,test,-1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,test,-1
CC[C@@H](CO)NCCN[C@@H](CC)CO,test,-1
CN(C)C(N)=NC(=N)N,test,-1
CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,test,-1
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,test,-1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,test,-1
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,test,-1
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,test,-1
CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,test,-1
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,test,-1
NC(=O)c1cnccn1,test,-1
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,test,-1
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,test,-1
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,test,-1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,test,-1
CNCCCC1c2ccccc2C=Cc2ccccc21,test,-1
Nc1ccc(C(=O)NCC(=O)O)cc1,test,-1
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,test,-1
CN1C(=O)OC(C)(C)C1=O,test,-1
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],test,-1
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,test,-1
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],test,-1
CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,test,-1
Nc1nc(=S)c2[nH]cnc2[nH]1,test,-1
CC[C@@H](CO)NC(=O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1,test,-1
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,test,-1
CC1C(=NC(=O)C(NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,test,-1
O=c1[nH]c2cc(Cl)ccc2o1,test,-1
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,test,-1
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,test,-1
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,test,-1
C[C@H](O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,test,-1
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,test,-1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,test,-1
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,test,-1
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,test,-1
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,test,-1
NC[C@H](O)c1ccc(O)c(O)c1,test,-1
Nc1ccn(C[C@@H](CO)OC[PH](=O)(=O)O)c(=O)n1,test,-1
